Village,State,Ecoli,Turbidity,Latitude,Longitude,Date,Risk,pH,Temperature,Salinity,Alkalinity,Dissolved O₂,Bacterial contamination
Lunglei,Mizoram,Low,3.82,23.684136,92.693921,2026-02-01,Low Risk 🟢,6.81,27.9,0.5,116.7,5.07,High
Kohima,Nagaland,Medium,4.46,25.7676,94.133158,2026-02-02,Medium Risk 🟡,7.65,28.1,0.44,124.2,8.74,Moderate
Dharmanagar,Tripura,High,11.92,23.792134,91.238118,2026-02-03,High Risk 🔴,8.18,23.2,0.84,132.2,7.08,High
Gangtok,Sikkim,Low,1.22,27.280689,88.63908,2026-02-04,Low Risk 🟢,8.08,28.0,0.19,104.9,8.45,Moderate
Tawang,Arunachal Pradesh,Medium,6.76,27.094512,93.596934,2026-02-05,Medium Risk 🟡,7.67,22.3,0.83,94.9,7.31,Moderate
Guwahati,Assam,High,9.9,26.166375,91.677983,2026-02-06,High Risk 🔴,7.76,22.1,0.63,90.7,8.84,Low
Tura,Meghalaya,Low,1.15,25.657701,91.905611,2026-02-07,Low Risk 🟢,7.1,25.1,0.42,105.6,8.2,Moderate
Thoubal,Manipur,Medium,5.42,24.75051,93.825848,2026-02-08,Medium Risk 🟡,7.63,22.7,0.72,107.2,7.1,Low
Lunglei,Mizoram,High,7.51,23.699522,92.742457,2026-02-09,High Risk 🔴,7.17,22.8,0.7,96.3,8.59,Moderate
Kohima,Nagaland,Low,3.01,25.624062,94.044984,2026-02-10,Low Risk 🟢,7.82,22.3,0.28,93.9,7.69,Low
Udaipur,Tripura,Medium,6.66,23.774283,91.311111,2026-02-11,Medium Risk 🟡,7.61,29.2,0.74,139.3,7.41,Moderate
Gyalshing,Sikkim,High,7.71,27.374024,88.671106,2026-02-12,High Risk 🔴,7.31,25.2,0.17,118.0,7.94,Low
